provider,power,fuel,N
66.0,1.0,1.0,0.0
66.0,1.0,2.0,0.0
66.0,1.0,3.0,0.0
66.0,1.0,4.0,0.0
66.0,1.0,5.0,0.0
66.0,1.0,6.0,0.0
66.0,2.0,1.0,0.0
66.0,2.0,2.0,0.0
66.0,2.0,3.0,0.0
66.0,2.0,4.0,0.0
66.0,2.0,5.0,0.0
66.0,2.0,6.0,20.215354048429425
66.0,3.0,1.0,0.0
66.0,3.0,2.0,0.0
66.0,3.0,3.0,0.0
66.0,3.0,4.0,0.0
66.0,3.0,5.0,0.0
66.0,3.0,6.0,20.220641214029797
66.0,4.0,1.0,0.0
66.0,4.0,2.0,0.0
66.0,4.0,3.0,0.0
66.0,4.0,4.0,0.0
66.0,4.0,5.0,0.0
66.0,4.0,6.0,20.21538127842861
66.0,5.0,1.0,0.0
66.0,5.0,2.0,0.0
66.0,5.0,3.0,0.0
66.0,5.0,4.0,0.0
66.0,5.0,5.0,0.0
66.0,5.0,6.0,0.0
66.0,6.0,1.0,0.0
66.0,6.0,2.0,0.0
66.0,6.0,3.0,0.0
66.0,6.0,4.0,0.0
66.0,6.0,5.0,0.0
66.0,6.0,6.0,9.820681816061587
66.0,7.0,1.0,0.0
66.0,7.0,2.0,0.0
66.0,7.0,3.0,0.0
66.0,7.0,4.0,0.0
66.0,7.0,5.0,0.0
66.0,7.0,6.0,20.215069146836484
66.0,8.0,1.0,0.0
66.0,8.0,2.0,0.0
66.0,8.0,3.0,0.0
66.0,8.0,4.0,0.0
66.0,8.0,5.0,0.0
66.0,8.0,6.0,2.5207045781815354
66.0,9.0,1.0,0.0
66.0,9.0,2.0,0.0
66.0,9.0,3.0,0.0
66.0,9.0,4.0,0.0
66.0,9.0,5.0,0.0
66.0,9.0,6.0,0.0
66.0,10.0,1.0,0.0
66.0,10.0,2.0,0.0
66.0,10.0,3.0,0.0
66.0,10.0,4.0,0.0
66.0,10.0,5.0,0.0
66.0,10.0,6.0,16.88240351612765
66.0,11.0,1.0,0.0
66.0,11.0,2.0,0.0
66.0,11.0,3.0,0.0
66.0,11.0,4.0,0.0
66.0,11.0,5.0,0.0
66.0,11.0,6.0,18.62476984224892
66.0,12.0,1.0,0.0
66.0,12.0,2.0,0.0
66.0,12.0,3.0,0.0
66.0,12.0,4.0,0.0
66.0,12.0,5.0,0.0
66.0,12.0,6.0,2.5228656119473922
66.0,13.0,1.0,0.0
66.0,13.0,2.0,0.0
66.0,13.0,3.0,0.0
66.0,13.0,4.0,0.0
66.0,13.0,5.0,0.0
66.0,13.0,6.0,3.836124367861324
66.0,14.0,1.0,0.0
66.0,14.0,2.0,0.0
66.0,14.0,3.0,0.0
66.0,14.0,4.0,0.0
66.0,14.0,5.0,0.0
66.0,14.0,6.0,0.0
67.0,1.0,1.0,0.0
67.0,1.0,2.0,0.0
67.0,1.0,3.0,0.0
67.0,1.0,4.0,0.0
67.0,1.0,5.0,0.0
67.0,1.0,6.0,0.0
67.0,2.0,1.0,0.0
67.0,2.0,2.0,0.0
67.0,2.0,3.0,0.0
67.0,2.0,4.0,0.0
67.0,2.0,5.0,0.0
67.0,2.0,6.0,38.57156589380488
67.0,3.0,1.0,0.0
67.0,3.0,2.0,0.0
67.0,3.0,3.0,0.0
67.0,3.0,4.0,0.0
67.0,3.0,5.0,0.0
67.0,3.0,6.0,38.5736300573601
67.0,4.0,1.0,0.0
67.0,4.0,2.0,0.0
67.0,4.0,3.0,0.0
67.0,4.0,4.0,0.0
67.0,4.0,5.0,0.0
67.0,4.0,6.0,38.57194245179056
67.0,5.0,1.0,0.0
67.0,5.0,2.0,0.0
67.0,5.0,3.0,0.0
67.0,5.0,4.0,0.0
67.0,5.0,5.0,0.0
67.0,5.0,6.0,0.0
67.0,6.0,1.0,0.0
67.0,6.0,2.0,0.0
67.0,6.0,3.0,0.0
67.0,6.0,4.0,0.0
67.0,6.0,5.0,0.0
67.0,6.0,6.0,28.177653250063504
67.0,7.0,1.0,0.0
67.0,7.0,2.0,0.0
67.0,7.0,3.0,0.0
67.0,7.0,4.0,0.0
67.0,7.0,5.0,0.0
67.0,7.0,6.0,38.57157606430172
67.0,8.0,1.0,0.0
67.0,8.0,2.0,0.0
67.0,8.0,3.0,0.0
67.0,8.0,4.0,0.0
67.0,8.0,5.0,0.0
67.0,8.0,6.0,20.879048387000125
67.0,9.0,1.0,0.0
67.0,9.0,2.0,0.0
67.0,9.0,3.0,0.0
67.0,9.0,4.0,0.0
67.0,9.0,5.0,0.0
67.0,9.0,6.0,0.0
67.0,10.0,1.0,0.0
67.0,10.0,2.0,0.0
67.0,10.0,3.0,0.0
67.0,10.0,4.0,0.0
67.0,10.0,5.0,0.0
67.0,10.0,6.0,35.23708017202926
67.0,11.0,1.0,0.0
67.0,11.0,2.0,0.0
67.0,11.0,3.0,0.0
67.0,11.0,4.0,0.0
67.0,11.0,5.0,0.0
67.0,11.0,6.0,36.9812744321089
67.0,12.0,1.0,0.0
67.0,12.0,2.0,0.0
67.0,12.0,3.0,0.0
67.0,12.0,4.0,0.0
67.0,12.0,5.0,0.0
67.0,12.0,6.0,20.881017652814798
67.0,13.0,1.0,0.0
67.0,13.0,2.0,0.0
67.0,13.0,3.0,0.0
67.0,13.0,4.0,0.0
67.0,13.0,5.0,0.0
67.0,13.0,6.0,22.19445464838821
67.0,14.0,1.0,0.0
67.0,14.0,2.0,0.0
67.0,14.0,3.0,0.0
67.0,14.0,4.0,0.0
67.0,14.0,5.0,0.0
67.0,14.0,6.0,0.0
68.0,1.0,1.0,0.0
68.0,1.0,2.0,0.0
68.0,1.0,3.0,0.0
68.0,1.0,4.0,0.0
68.0,1.0,5.0,0.0
68.0,1.0,6.0,0.0
68.0,2.0,1.0,0.0
68.0,2.0,2.0,0.0
68.0,2.0,3.0,0.0
68.0,2.0,4.0,0.0
68.0,2.0,5.0,0.0
68.0,2.0,6.0,34.22097747309558
68.0,3.0,1.0,0.0
68.0,3.0,2.0,0.0
68.0,3.0,3.0,0.0
68.0,3.0,4.0,0.0
68.0,3.0,5.0,0.0
68.0,3.0,6.0,34.22338875909925
68.0,4.0,1.0,0.0
68.0,4.0,2.0,0.0
68.0,4.0,3.0,0.0
68.0,4.0,4.0,0.0
68.0,4.0,5.0,0.0
68.0,4.0,6.0,34.221447709014896
68.0,5.0,1.0,0.0
68.0,5.0,2.0,0.0
68.0,5.0,3.0,0.0
68.0,5.0,4.0,0.0
68.0,5.0,5.0,0.0
68.0,5.0,6.0,0.0
68.0,6.0,1.0,0.0
68.0,6.0,2.0,0.0
68.0,6.0,3.0,0.0
68.0,6.0,4.0,0.0
68.0,6.0,5.0,0.0
68.0,6.0,6.0,23.827287332258933
68.0,7.0,1.0,0.0
68.0,7.0,2.0,0.0
68.0,7.0,3.0,0.0
68.0,7.0,4.0,0.0
68.0,7.0,5.0,0.0
68.0,7.0,6.0,34.221002634089025
68.0,8.0,1.0,0.0
68.0,8.0,2.0,0.0
68.0,8.0,3.0,0.0
68.0,8.0,4.0,0.0
68.0,8.0,5.0,0.0
68.0,8.0,6.0,16.528369664526885
68.0,9.0,1.0,0.0
68.0,9.0,2.0,0.0
68.0,9.0,3.0,0.0
68.0,9.0,4.0,0.0
68.0,9.0,5.0,0.0
68.0,9.0,6.0,0.0
68.0,10.0,1.0,0.0
68.0,10.0,2.0,0.0
68.0,10.0,3.0,0.0
68.0,10.0,4.0,0.0
68.0,10.0,5.0,0.0
68.0,10.0,6.0,30.88663613043184
68.0,11.0,1.0,0.0
68.0,11.0,2.0,0.0
68.0,11.0,3.0,0.0
68.0,11.0,4.0,0.0
68.0,11.0,5.0,0.0
68.0,11.0,6.0,32.630582760653766
68.0,12.0,1.0,0.0
68.0,12.0,2.0,0.0
68.0,12.0,3.0,0.0
68.0,12.0,4.0,0.0
68.0,12.0,5.0,0.0
68.0,12.0,6.0,16.530741588727548
68.0,13.0,1.0,0.0
68.0,13.0,2.0,0.0
68.0,13.0,3.0,0.0
68.0,13.0,4.0,0.0
68.0,13.0,5.0,0.0
68.0,13.0,6.0,17.843804002249048
68.0,14.0,1.0,0.0
68.0,14.0,2.0,0.0
68.0,14.0,3.0,0.0
68.0,14.0,4.0,0.0
68.0,14.0,5.0,0.0
68.0,14.0,6.0,0.0
69.0,1.0,1.0,0.0
69.0,1.0,2.0,0.0
69.0,1.0,3.0,0.0
69.0,1.0,4.0,0.0
69.0,1.0,5.0,0.0
69.0,1.0,6.0,0.0
69.0,2.0,1.0,0.0
69.0,2.0,2.0,0.0
69.0,2.0,3.0,0.0
69.0,2.0,4.0,0.0
69.0,2.0,5.0,0.0
69.0,2.0,6.0,29.252385323447157
69.0,3.0,1.0,0.0
69.0,3.0,2.0,0.0
69.0,3.0,3.0,0.0
69.0,3.0,4.0,0.0
69.0,3.0,5.0,0.0
69.0,3.0,6.0,29.25539914151365
69.0,4.0,1.0,0.0
69.0,4.0,2.0,0.0
69.0,4.0,3.0,0.0
69.0,4.0,4.0,0.0
69.0,4.0,5.0,0.0
69.0,4.0,6.0,29.253004248319716
69.0,5.0,1.0,0.0
69.0,5.0,2.0,0.0
69.0,5.0,3.0,0.0
69.0,5.0,4.0,0.0
69.0,5.0,5.0,0.0
69.0,5.0,6.0,0.0
69.0,6.0,1.0,0.0
69.0,6.0,2.0,0.0
69.0,6.0,3.0,0.0
69.0,6.0,4.0,0.0
69.0,6.0,5.0,0.0
69.0,6.0,6.0,18.859043763665646
69.0,7.0,1.0,0.0
69.0,7.0,2.0,0.0
69.0,7.0,3.0,0.0
69.0,7.0,4.0,0.0
69.0,7.0,5.0,0.0
69.0,7.0,6.0,29.25243555078465
69.0,8.0,1.0,0.0
69.0,8.0,2.0,0.0
69.0,8.0,3.0,0.0
69.0,8.0,4.0,0.0
